ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
1,Aastrup,Aastrup,Denmark,10.09,57.48,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Nilsson 1987,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y ,X,,,Aas.1,
2,Abri de Fontales,Abri de Fontales,France,1.75,44.15,Whole,Upper Magdalenian,Unspecified,Tanged Point (Unspecified),Sonneville-Bordes 1969,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Font.2,"According to Darasse, P., Guffroy, S. 1960. that is a burin on a break "
3,Abri de Fontales,Abri de Fontales,France,1.75,44.15,Whole,Upper Magdalenian,Unspecified,Tanged Point (Unspecified),Sonneville-Bordes 1969,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Font.1,
4,Abri de Laugerie-Basse,Abri de Laugerie-Basse,France,1,44.95,Whole,Upper Magdalenian,Unspecified,Tanged Point (Unspecified),Sonneville-Bordes 1969,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Lau.Ba.1,
5,Abri des Cabones ,Abri des Cabones ,France,5.46,46.75,Whole,Upper Magdalenian,Unspecified,Tanged Point (Unspecified),David 1984,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Cabo.1,
6,Ahrenshoop,Ahrenshoop,Germany,12.42,54.38,Whole,Ahrensburgian,Eggstedt-Stellmoor,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Ahre.1,
7,Alt Duvenstedt,Alt Duvenstedt (LA89),Germany,9.61,54.38,Whole,Bromme,Bromme (Western Europe),Bromme Point,Clausen and Hartz 1988,Excavation,Relative,,,,,,,,,Allerod,Stratigraphy,Y,N,N,N,2D,Y ,X,,,Alt.DLA89.1,
8,Alt Steinhorst,Alt Steinhorst,Germany,12.49,54.15,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Alt.Ste.1,
9,Anholt Island,Anholt Island,Denmark,11.51,56.71,Whole,Lyngby,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Anh.1,
10,Anosovo,Anosovo,Russia,31.55,54.59,Whole,Tanged Point Technocomplex,Vyshegorian,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Ano.1,According to Gurina it bears similarities with Ahrensburgian/Baltic Magdalenian
11,Anosovo,Anosovo,Russia,31.55,54.59,Whole,Tanged Point Technocomplex,Vyshegorian,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Ano.2,According to Gurina it bears similarities with Ahrensburgian/Baltic Magdalenian
